sample	group
GSM6066120	Day0-7
GSM6066127	Day0-7
GSM6066134	Day0-7
GSM6066141	Day0-7
GSM6066114	Day0-7
GSM6066124	Day0-7
GSM6066125	Day0-7
GSM6066133	Day0-7
GSM6066118	Day0-7
GSM6066119	Day0-7
GSM6066121	Day0-7
GSM6066126	Day0-7
GSM6066135	Day0-7
GSM6066138	Day0-7
GSM6066139	Day0-7
GSM6066122	Day0-7
GSM6066142	Day0-7
GSM6066143	Day0-7
GSM6066123	Day0-7
GSM6066130	Day0-7
GSM6066146	Day0-7
GSM6208990	Day0-7
GSM6208979	Day7-17
GSM6208976	Day7-17
GSM6208977	Day7-17
GSM6208991	Day7-17
GSM6208983	Day7-17
GSM6208987	Day7-17
GSM6208972	Day7-17
GSM6208970	Day7-17
GSM6208971	Day7-17
GSM6208973	Day7-17
GSM6208974	Day7-17
GSM6208975	Day7-17
GSM6208989	Day7-17
GSM6208994	Day7-17
GSM6208969	Day7-17
GSM6208980	Day7-17
GSM6208995	Day7-17
GSM6066090	HC
GSM6066091	HC
GSM6066092	HC
GSM6066093	HC
GSM6066094	HC
GSM6066095	HC
GSM6066096	HC
GSM6066097	HC
