sample	group
GSM6066150	  Day 0-7
GSM6066153	  Day 0-7
GSM6066154	  Day 0-7
GSM6066155	  Day 0-7
GSM6066156	  Day 0-7
GSM6066159	  Day 0-7
GSM6066145	  Day 0-7
GSM6066148	  Day 0-7
GSM6066160	  Day 0-7
GSM6209002	  Day 7-17
GSM6209004	  Day 7-17
GSM6209005	  Day 7-17
GSM6209003	  Day 7-17
GSM6208999	  Day 7-17
GSM6209000	  Day 7-17
GSM6208998	  Day 7-17
GSM6066090	  HC
GSM6066091	  HC
GSM6066092	  HC
GSM6066093	  HC
GSM6066094	  HC
GSM6066095	  HC
GSM6066096	  HC
GSM6066097	  HC
